,user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
174847,SLOLNLMFHCI0,5f728104cdf76,1541078511,37,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Guest House|House / Apartment,,
174848,SLOLNLMFHCI0,5f728104cdf76,1541078513,38,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Guest House|House / Apartment|Serviced Apartment,,
174849,SLOLNLMFHCI0,5f728104cdf76,1541078513,39,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Guest House|House / Apartment|Serviced Apartment,,
174850,SLOLNLMFHCI0,5f728104cdf76,1541078514,40,filter selection,Hotel,MY,"Seoul, South Korea",mobile,Guest House|House / Apartment|Serviced Apartment|Hotel,,
174853,SLOLNLMFHCI0,5f728104cdf76,1541078524,43,filter selection,1 Star,MY,"Seoul, South Korea",mobile,Guest House|Hotel|2 Star|1 Star,,
174854,SLOLNLMFHCI0,5f728104cdf76,1541078524,44,filter selection,2 Star,MY,"Seoul, South Korea",mobile,Guest House|Hotel|2 Star,,
174855,SLOLNLMFHCI0,5f728104cdf76,1541078583,45,filter selection,Guest House,MY,"Seoul, South Korea",mobile,Hotel|2 Star|1 Star,,
174856,SLOLNLMFHCI0,5f728104cdf76,1541078592,46,filter selection,Hostel,MY,"Seoul, South Korea",mobile,Hotel|2 Star|1 Star|Hostel,,
174857,SLOLNLMFHCI0,5f728104cdf76,1541078593,47,filter selection,Hostel,MY,"Seoul, South Korea",mobile,Hotel|2 Star|1 Star,,
174858,SLOLNLMFHCI0,5f728104cdf76,1541078593,48,filter selection,Guest House,MY,"Seoul, South Korea",mobile,Hotel|2 Star|1 Star|Guest House,,
174859,SLOLNLMFHCI0,5f728104cdf76,1541078598,49,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment|Serviced Apartment,,
174860,SLOLNLMFHCI0,5f728104cdf76,1541078598,50,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment|Serviced Apartment,,
174861,SLOLNLMFHCI0,5f728104cdf76,1541078599,51,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|Serviced Apartment,,
174862,SLOLNLMFHCI0,5f728104cdf76,1541078600,52,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|Serviced Apartment|House / Apartment,,
174863,SLOLNLMFHCI0,5f728104cdf76,1541078601,53,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House,,
174864,SLOLNLMFHCI0,5f728104cdf76,1541078601,54,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House,,
174865,SLOLNLMFHCI0,5f728104cdf76,1541078602,55,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment|Serviced Apartment,,
174866,SLOLNLMFHCI0,5f728104cdf76,1541078602,56,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment|Serviced Apartment,,
174867,SLOLNLMFHCI0,5f728104cdf76,1541078603,57,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House,,
174868,SLOLNLMFHCI0,5f728104cdf76,1541078603,58,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House,,
174869,SLOLNLMFHCI0,5f728104cdf76,1541078604,59,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment|Serviced Apartment,,
174870,SLOLNLMFHCI0,5f728104cdf76,1541078604,60,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment|Serviced Apartment,,
174871,SLOLNLMFHCI0,5f728104cdf76,1541078607,61,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,Hotel|Guest House|House / Apartment,,
213400,S5CMAGM9IGWE,56195c09f8820,1541340099,1,search for poi,Myeong-dong,SG,"Seoul, South Korea",mobile,,,
213401,S5CMAGM9IGWE,56195c09f8820,1541340170,2,search for poi,Myeong-dong,SG,"Seoul, South Korea",mobile,Focus on Distance,,
228105,JUA5LSBFY5AD,df3c2c1cc2919,1541431871,6,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
257872,J006BNZD5L86,e1ce4764ddd15,1541034652,1,search for destination,"Seoul, South Korea",TW,"Seoul, South Korea",mobile,,,
261009,SO4217PVQA1H,f94c61a789058,1541057029,1,search for poi,Hongdae,HK,"Seoul, South Korea",desktop,,,
293448,79T91I97FO1Z,85c47768c1ddf,1541322665,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
293449,79T91I97FO1Z,85c47768c1ddf,1541322748,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
293450,79T91I97FO1Z,85c47768c1ddf,1541322751,3,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
293451,79T91I97FO1Z,85c47768c1ddf,1541322751,4,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
293453,79T91I97FO1Z,85c47768c1ddf,1541323257,6,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
293454,79T91I97FO1Z,85c47768c1ddf,1541323261,7,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
293455,79T91I97FO1Z,85c47768c1ddf,1541323261,8,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
297449,F6KNQAO871VL,a93a778dd8202,1541334595,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
308082,8T24AEA28N3S,a0eddfb433c00,1541407387,1,search for destination,"Seoul, South Korea",DE,"Seoul, South Korea",tablet,,,
308083,8T24AEA28N3S,a0eddfb433c00,1541407755,2,change of sort order,interaction sort button,DE,"Seoul, South Korea",tablet,,,
309659,B8CY156ZIT4O,a56b9a7fb8278,1541411339,1,filter selection,Free WiFi (Combined),KR,"Seoul, South Korea",desktop,Free WiFi (Combined),,
309660,B8CY156ZIT4O,a56b9a7fb8278,1541411350,2,filter selection,Breakfast Included,KR,"Seoul, South Korea",desktop,Free WiFi (Combined)|Breakfast Included,,
309672,B8CY156ZIT4O,a56b9a7fb8278,1541412186,14,filter selection,Focus on Distance,KR,"Seoul, South Korea",desktop,Free WiFi (Combined)|Focus on Distance,,
309673,B8CY156ZIT4O,a56b9a7fb8278,1541412186,15,search for poi,Seoul Station,KR,"Seoul, South Korea",desktop,Free WiFi (Combined)|Focus on Distance,,
321049,6ZH8M8CR2C3K,206a0efcdb33d,1541516796,3,search for poi,Hongdae,JP,"Seoul, South Korea",mobile,,,
330344,QQ8XZ76LYESL,a581c7fc368ab,1541506768,1,search for poi,Myeongdong,ID,"Seoul, South Korea",desktop,,,
336198,87I53EFOPPN7,6801a46905914,1541104717,34,change of sort order,interaction sort button,UK,"Seoul, South Korea",mobile,,,
336199,87I53EFOPPN7,6801a46905914,1541104733,35,filter selection,Very Good Rating,UK,"Seoul, South Korea",mobile,Very Good Rating,,
336200,87I53EFOPPN7,6801a46905914,1541104739,36,change of sort order,distance and recommended,UK,"Seoul, South Korea",mobile,,,
336201,87I53EFOPPN7,6801a46905914,1541104739,37,change of sort order,interaction sort button,UK,"Seoul, South Korea",mobile,,,
336202,87I53EFOPPN7,6801a46905914,1541104739,38,filter selection,Focus on Distance,UK,"Seoul, South Korea",mobile,Very Good Rating|Focus on Distance,,
343985,ZDZ94QTTEZUV,86df88b382c4d,1541072895,1,search for destination,"Seoul, South Korea",CA,"Seoul, South Korea",mobile,,,
350223,D227CDQ488E0,857999f5e93fc,1541136002,1,search for destination,"Seoul, South Korea",US,"Seoul, South Korea",desktop,,,
350225,D227CDQ488E0,857999f5e93fc,1541136052,3,change of sort order,interaction sort button,US,"Seoul, South Korea",desktop,,,
350226,D227CDQ488E0,857999f5e93fc,1541136052,4,change of sort order,rating and recommended,US,"Seoul, South Korea",desktop,,,
350227,D227CDQ488E0,857999f5e93fc,1541136052,5,change of sort order,interaction sort button,US,"Seoul, South Korea",desktop,,,
350228,D227CDQ488E0,857999f5e93fc,1541136052,6,filter selection,Focus on Rating,US,"Seoul, South Korea",desktop,Focus on Rating,,
350245,D227CDQ488E0,857999f5e93fc,1541138558,23,search for destination,"Seoul, South Korea",US,"Seoul, South Korea",desktop,,,
353356,MWLMK82L96LD,aad256db0b8db,1541180848,2,filter selection,Focus on Distance,MY,"Seoul, South Korea",mobile,Focus on Distance,,
353357,MWLMK82L96LD,aad256db0b8db,1541180848,3,search for destination,"Seoul, South Korea",MY,"Seoul, South Korea",mobile,Focus on Distance,,
353359,MWLMK82L96LD,aad256db0b8db,1541180988,5,change of sort order,interaction sort button,MY,"Seoul, South Korea",mobile,,,
353360,MWLMK82L96LD,aad256db0b8db,1541180991,6,change of sort order,price only,MY,"Seoul, South Korea",mobile,,,
353361,MWLMK82L96LD,aad256db0b8db,1541180991,7,filter selection,Sort by Price,MY,"Seoul, South Korea",mobile,Sort by Price,,
359213,4FWQ79X5C74U,39cce61edec61,1541238215,1,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
359214,4FWQ79X5C74U,39cce61edec61,1541238218,2,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
359215,4FWQ79X5C74U,39cce61edec61,1541238218,3,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
364191,N3H0O1TI4LML,b915be2d9fea6,1541260740,1,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
364192,N3H0O1TI4LML,b915be2d9fea6,1541260740,2,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
364193,N3H0O1TI4LML,b915be2d9fea6,1541260740,3,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
406043,EZML60C0LX7B,045bef16f1600,1541542823,1,search for destination,"Seoul, South Korea",AU,"Seoul, South Korea",mobile,,,
406044,EZML60C0LX7B,045bef16f1600,1541542951,2,filter selection,Swimming Pool (Combined Filter),AU,"Seoul, South Korea",mobile,Swimming Pool (Combined Filter),,
406045,EZML60C0LX7B,045bef16f1600,1541542955,3,filter selection,Free WiFi (Combined),AU,"Seoul, South Korea",mobile,Swimming Pool (Combined Filter)|Free WiFi (Combined),,
421163,LOAEL8V78KG2,95f44e2d980a0,1541047091,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
421164,LOAEL8V78KG2,95f44e2d980a0,1541047101,2,filter selection,Excellent Rating,JP,"Seoul, South Korea",mobile,Excellent Rating,,
435552,Q37YTMLDARIK,350cb9f4d3989,1541147540,1,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
435553,Q37YTMLDARIK,350cb9f4d3989,1541147542,2,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
435554,Q37YTMLDARIK,350cb9f4d3989,1541147559,3,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
435555,Q37YTMLDARIK,350cb9f4d3989,1541147569,4,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
435556,Q37YTMLDARIK,350cb9f4d3989,1541147569,5,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
435607,Q37YTMLDARIK,350cb9f4d3989,1541147907,56,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
435608,Q37YTMLDARIK,350cb9f4d3989,1541147911,57,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
435609,Q37YTMLDARIK,350cb9f4d3989,1541147911,58,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
447245,S6WNHJNTGEJG,a066e644df59d,1541239339,25,search for destination,"Seoul, South Korea",CH,"Seoul, South Korea",desktop,,,
447246,S6WNHJNTGEJG,a066e644df59d,1541239396,26,filter selection,Focus on Distance,CH,"Seoul, South Korea",desktop,Focus on Distance,,
447247,S6WNHJNTGEJG,a066e644df59d,1541239396,27,search for poi,Changdeokgung,CH,"Seoul, South Korea",desktop,Focus on Distance,,
447248,S6WNHJNTGEJG,a066e644df59d,1541239421,28,change of sort order,interaction sort button,CH,"Seoul, South Korea",desktop,,,
447249,S6WNHJNTGEJG,a066e644df59d,1541239422,29,change of sort order,price only,CH,"Seoul, South Korea",desktop,,,
447250,S6WNHJNTGEJG,a066e644df59d,1541239422,30,filter selection,Sort by Price,CH,"Seoul, South Korea",desktop,Sort by Price,,
447251,S6WNHJNTGEJG,a066e644df59d,1541239442,31,filter selection,Very Good Rating,CH,"Seoul, South Korea",desktop,Sort by Price|Very Good Rating,,
449548,XSL0GJUD0R3B,f1f8c4496678d,1541289114,2,search for poi,Myeongdong,PH,"Seoul, South Korea",mobile,,,
449549,XSL0GJUD0R3B,f1f8c4496678d,1541289177,3,search for poi,Myeong-dong,PH,"Seoul, South Korea",mobile,,,
455802,FEL4L92K4BW1,79459b79c8fe6,1541317685,1,search for destination,"Seoul, South Korea",AU,"Seoul, South Korea",desktop,,,
489272,KVVRO5CLT9V1,a9d1ef682ee82,1541510717,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
489273,KVVRO5CLT9V1,a9d1ef682ee82,1541510736,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
489274,KVVRO5CLT9V1,a9d1ef682ee82,1541510746,3,change of sort order,price and recommended,JP,"Seoul, South Korea",desktop,,,
489275,KVVRO5CLT9V1,a9d1ef682ee82,1541510746,4,filter selection,Best Value,JP,"Seoul, South Korea",desktop,Best Value,,
495935,5M9ZAHHWH4CW,ae45c226e8cdc,1541077938,1,filter selection,Serviced Apartment,MY,"Seoul, South Korea",mobile,House / Apartment|Serviced Apartment,,
495936,5M9ZAHHWH4CW,ae45c226e8cdc,1541077938,2,filter selection,House / Apartment,MY,"Seoul, South Korea",mobile,House / Apartment|Serviced Apartment,,
507121,2EET2OFFMTN9,5ff0494ae5082,1541184334,1,search for poi,Myeong-dong,MY,"Seoul, South Korea",mobile,,,
507126,2EET2OFFMTN9,5ff0494ae5082,1541184479,6,search for poi,Myeong-dong,MY,"Seoul, South Korea",mobile,,,
512565,JGOP2AS5962T,710c80a82b725,1541189446,6,search for poi,Gyeongbok Palace Station Metro Gallery,MX,"Seoul, South Korea",desktop,,,
512566,JGOP2AS5962T,710c80a82b725,1541189451,7,search for poi,Gyeongbok Palace Station Metro Gallery,MX,"Seoul, South Korea",desktop,,,
523241,CILAZP3Y733N,228d5591a4cff,1541258391,2,search for poi,Hongik University,HK,"Seoul, South Korea",desktop,,,
523242,CILAZP3Y733N,228d5591a4cff,1541258412,3,change of sort order,interaction sort button,HK,"Seoul, South Korea",desktop,,,
523243,CILAZP3Y733N,228d5591a4cff,1541258413,4,change of sort order,price and recommended,HK,"Seoul, South Korea",desktop,,,
523244,CILAZP3Y733N,228d5591a4cff,1541258413,5,filter selection,Best Value,HK,"Seoul, South Korea",desktop,Best Value,,
547799,FERENA60XEQX,a479114336b54,1541405870,1,search for poi,Sindorim,KR,"Seoul, South Korea",desktop,,,
549401,JB9WYXAHRSGO,2e0d1e0803962,1541386315,1,search for poi,Dongdaemun Market,HK,"Seoul, South Korea",desktop,,,
558877,66QU18R23DUR,be4105aa1518b,1541537116,2,search for destination,"Seoul, South Korea",HK,"Seoul, South Korea",mobile,,,
617107,XW2EWYGYPK31,cadb6e84308a3,1541329951,1,search for poi,Seoul Station,HK,"Seoul, South Korea",mobile,,,
623412,7II9JWFC9C7D,0409c39f11a0f,1541447757,1,search for destination,"Seoul, South Korea",FI,"Seoul, South Korea",tablet,,,
629727,Q6L614T99RYN,71d56ade468aa,1541444688,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
629728,Q6L614T99RYN,71d56ade468aa,1541444709,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
629729,Q6L614T99RYN,71d56ade468aa,1541444714,3,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
629730,Q6L614T99RYN,71d56ade468aa,1541444714,4,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
680781,NVDZDI5FDMU2,dd9f143d7a90f,1541258236,5,filter selection,Excellent Rating,KR,"Seoul, South Korea",mobile,Excellent Rating,,
693107,PVEY2XCX2X4R,0a80108a5199a,1541300957,3,search for poi,Hongdae,JP,"Seoul, South Korea",mobile,,,
693163,QCJ5KOTPMCWR,63c8f7da111b5,1541312714,1,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
693164,QCJ5KOTPMCWR,63c8f7da111b5,1541312838,2,filter selection,5 Star,JP,"Seoul, South Korea",mobile,5 Star,,
693165,QCJ5KOTPMCWR,63c8f7da111b5,1541312840,3,filter selection,4 Star,JP,"Seoul, South Korea",mobile,5 Star|4 Star,,
693166,QCJ5KOTPMCWR,63c8f7da111b5,1541312845,4,filter selection,Hotel,JP,"Seoul, South Korea",mobile,5 Star|4 Star|Hotel,,
699862,6H54QSSDJHZP,74ef42ee1ee5e,1541428352,2,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
699863,6H54QSSDJHZP,74ef42ee1ee5e,1541428366,3,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
699864,6H54QSSDJHZP,74ef42ee1ee5e,1541428373,4,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
699865,6H54QSSDJHZP,74ef42ee1ee5e,1541428373,5,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
699866,6H54QSSDJHZP,74ef42ee1ee5e,1541428383,6,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
699867,6H54QSSDJHZP,74ef42ee1ee5e,1541428393,7,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
699868,6H54QSSDJHZP,74ef42ee1ee5e,1541428404,8,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
699869,6H54QSSDJHZP,74ef42ee1ee5e,1541428404,9,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
699870,6H54QSSDJHZP,74ef42ee1ee5e,1541428404,10,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
702514,D9Q54RZFMVS4,94c3353a74ea1,1541446505,1,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
702515,D9Q54RZFMVS4,94c3353a74ea1,1541446509,2,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
702516,D9Q54RZFMVS4,94c3353a74ea1,1541446509,3,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
715345,9N063N6BXXGU,c449a0838910f,1541476823,1,search for poi,Insadong,MY,"Seoul, South Korea",mobile,,,
727387,3S0L1FLRZFPV,279ab072a0a60,1541067658,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
727389,3S0L1FLRZFPV,279ab072a0a60,1541067707,3,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
735511,PK2K8LXF4JRM,2e6fb3ed34a87,1541037407,1,search for destination,"Seoul, South Korea",EC,"Seoul, South Korea",mobile,,,
735512,PK2K8LXF4JRM,2e6fb3ed34a87,1541037562,2,filter selection,Focus on Distance,EC,"Seoul, South Korea",mobile,Focus on Distance,,
735513,PK2K8LXF4JRM,2e6fb3ed34a87,1541037562,3,search for poi,COEX,EC,"Seoul, South Korea",mobile,Focus on Distance,,
735514,PK2K8LXF4JRM,2e6fb3ed34a87,1541037586,4,change of sort order,interaction sort button,EC,"Seoul, South Korea",mobile,,,
735515,PK2K8LXF4JRM,2e6fb3ed34a87,1541037588,5,change of sort order,price only,EC,"Seoul, South Korea",mobile,,,
